brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,graphic_card_gb,warranty,Price,rating,Number of Ratings,Number of Reviews,Touchscreen_Yes,msoffice_Yes,weight_Casual,weight_Gaming,weight_ThinNlight
1,1,1,5,0,1,3,0,4,0,1,51649,2,0,0,0,1,1,0,0
1,1,1,4,0,1,3,0,4,0,1,40990,3,4008,519,0,0,1,0,0
5,0,8,5,1,1,3,0,4,2,0,59490,3,92,10,0,0,0,1,0
5,1,2,5,1,1,3,0,4,0,2,68990,3,44,8,1,1,1,0,0
5,1,2,5,2,1,3,0,4,0,0,64990,2,0,0,0,0,0,0,1
1,1,1,4,0,1,0,2,4,0,0,34649,1,3,0,0,0,1,0,0
1,0,10,5,0,1,4,0,4,0,1,130500,2,0,0,0,0,1,0,0
6,1,3,5,2,1,4,0,4,4,3,129990,3,14,3,0,0,1,0,0
1,0,8,5,0,1,3,0,4,0,1,80990,2,0,0,0,0,1,0,0
2,1,3,2,1,1,2,0,4,0,0,73990,2,0,0,0,0,0,0,1
1,1,2,5,2,1,3,0,4,0,0,59990,2,3,0,0,0,0,0,1
3,0,7,5,1,1,2,0,4,0,1,39990,3,7,0,0,0,0,0,1
4,1,1,5,0,1,3,0,4,0,1,69267,2,0,0,1,1,1,0,0
1,1,2,5,1,1,3,0,4,2,0,71990,3,91,17,0,0,0,1,0
1,1,3,5,2,1,2,2,1,0,0,82500,2,0,0,0,0,0,0,1
6,1,2,4,1,4,0,1,0,3,0,291190,3,7,3,0,0,1,0,0
7,1,2,5,1,1,2,2,4,0,1,56990,3,27,2,0,0,0,0,1
1,1,2,5,2,1,3,0,4,0,1,58990,2,0,0,1,1,1,0,0
5,1,2,5,1,1,3,0,4,0,1,64990,3,125,11,0,1,1,0,0
3,0,7,5,1,1,0,2,4,0,0,39990,2,18,4,0,0,0,0,1
4,1,1,5,0,1,0,2,4,0,1,39990,2,324,45,0,1,0,0,1
7,0,8,5,0,1,3,0,4,0,1,49990,3,47,6,0,0,1,0,0
1,1,3,5,2,5,3,0,4,0,0,109990,2,0,0,1,0,0,0,1
1,0,9,5,0,2,3,0,4,2,0,106990,2,0,0,0,0,1,0,0
1,0,9,5,0,1,3,0,1,2,0,79990,2,0,0,0,0,1,0,0
4,1,2,5,1,5,3,0,4,0,1,129999,2,0,0,1,0,1,0,0
3,1,2,5,2,1,3,0,4,0,1,89390,2,0,0,1,1,1,0,0
7,1,3,4,2,1,2,2,4,3,1,119990,3,2038,313,0,0,1,0,0
3,1,2,5,1,5,3,0,4,0,1,114990,2,0,0,0,1,0,0,1
0,1,2,2,1,0,3,0,3,0,1,172090,3,108,13,0,0,1,0,0
5,1,2,4,1,1,2,2,4,2,0,74590,3,898,128,0,0,0,1,0
5,1,1,4,1,1,2,0,4,0,3,39999,4,4,0,0,1,1,0,0
1,1,2,5,1,5,3,0,4,0,0,84990,2,0,0,0,0,0,0,1
3,1,2,5,1,1,3,0,4,1,0,71290,2,0,0,0,0,1,0,0
4,1,3,4,2,1,4,0,4,3,1,144690,3,17,4,0,1,1,0,0
